Category_Name,Category_Url
"
				Die Kleine Küche",https://www.rossmann.de/de/marken/die-kleine-kueche/c/online-dachmarke_7236628
"
				Diesel",https://www.rossmann.de/de/marken/diesel/c/online-dachmarke_7696840
"
				DirTea",https://www.rossmann.de/de/marken/dirtea/c/online-dachmarke_8450013
"
				Disney",https://www.rossmann.de/de/marken/disney/c/online-dachmarke_5161052
"
				DKNY",https://www.rossmann.de/de/marken/dkny/c/online-dachmarke_4455200
"
				Dobendan",https://www.rossmann.de/de/marken/dobendan/c/online-dachmarke_5698815
"
				Dolce&Gabbana",https://www.rossmann.de/de/marken/dolceundgabbana/c/online-dachmarke_5945920
"
				Domestos",https://www.rossmann.de/de/marken/domestos/c/online-dachmarke_4455201
"
				Dominik Meyer",https://www.rossmann.de/de/marken/dominik-meyer/c/online-dachmarke_4455202
"
				domol",https://www.rossmann.de/de/marken/domol/c/online-dachmarke_4455203
"
				DON PAPA",https://www.rossmann.de/de/marken/don-papa/c/online-dachmarke_8188878
"
				Doppelherz",https://www.rossmann.de/de/marken/doppelherz/c/online-dachmarke_4455205
"
				Dorling Kindersley",https://www.rossmann.de/de/marken/dorling-kindersley/c/online-dachmarke_6165168
"
				Dove",https://www.rossmann.de/de/marken/dove/c/online-dachmarke_4455206
"
				Dr Botanicals",https://www.rossmann.de/de/marken/dr-botanicals/c/online-dachmarke_6618096
"
				Dr. Beckmann",https://www.rossmann.de/de/marken/dr-beckmann/c/online-dachmarke_4455209
"
				Dr. C. Soldan's",https://www.rossmann.de/de/marken/dr-c-soldans/c/online-dachmarke_4455210
"
				Dr. Jacoby´s",https://www.rossmann.de/de/marken/dr-jacobys/c/online-dachmarke_4455211
"
				Dr. Loges",https://www.rossmann.de/de/marken/dr-loges/c/online-dachmarke_6088249
"
				Dr. Quendt",https://www.rossmann.de/de/marken/dr-quendt/c/online-dachmarke_5522974
